,Review_Date,Author,Rating,Review_Title,Review,Review_Url
10,21 July 2023,Sleepin_Dragon,8," Well this really did come as a surprise.
","It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.",/review/rw9319915/?ref_=tt_urv
11,23 July 2023,herrcarter-92161,5," Somewhat of a Jumbled Mess
",My 15-year old daughter wrote the following review and posted it to my IMDB account.,/review/rw9319915/?ref_=tt_urv
12,26 July 2023,sophiaaven,," The HYPE is not real
","It was sooo boring, I could have left in the middle of the film and not care less about what was happening to the characters. I love the cast but everything was soo unfunny. I left the movie fealing like I learned nothing knew. The movie is trying to be this inclusive thing but with all the jokes directing into the old steriotypes it contradicted its self the hold time. Margot is beyond beautiful and calling her self ugly in the movie even though she is ""The Barbie"" isn't so clevver as they think it is, not even with the narrator. I Love Greta but it dosen't feel like her. Kinda like with Wednesday not feeling like a Tim Burton thing. But good job with the marketing, it got me.",/review/rw9319915/?ref_=tt_urv
13,22 July 2023,finnconnelly-63017,10," Ken out of ten
","Wow. I did not see this masterpiece coming. And that's not a joke. Somehow, Greta Gerwig took Barbie, and made a movie that tackles some really tough social issues....well? It's crazy. But wow, does it work. The story is very mature, thinker of a plot. Once you're done laughing your butt off, you'll get really emotional. The production design is so on point. The whole movie is pink everything, but it's never polarizing. All the shades melt together in a very pleasing way. And of course the cast! Margot Robbie was born to play Barbie, and she hits a home run, but Ryan Gosling. This dude rocks as Ken. He knocked it all the way around the world and hit himself in the back of the head. He steals every scene he's in, and I would be so on board with a Ken spin-off. America Ferrara and Simu Liu are also great in their respective roles, but the cast overall is just perfect. Overall, Barbie is probably the best movie based off a toy (sorry LEGO Movies) and an overall fantastic time at the movies.",/review/rw9319915/?ref_=tt_urv
14,19 July 2023,anjamulder,8," not for everyone
","This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already.",/review/rw9319915/?ref_=tt_urv
15,27 August 2023,kayleewillis-85920,6," OVERHYPED
","This is a movie that was way overhyped. Everyone kept saying it was so amazing, but when I finally go to watch it, it was not at all what I thought it was going to be. The storyline was not good. It was a basic and corny storyline, in my opinion.",/review/rw9319915/?ref_=tt_urv
16,19 July 2023,HabibieHakim123,8," Barbie Is A Weirdly Fun Movie!
","8.5/10
While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly.",/review/rw9319915/?ref_=tt_urv
17,24 July 2023,lokicola,6," Strong Start... and That's It
","I walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea.""",/review/rw9319915/?ref_=tt_urv
18,29 August 2023,antoniatejedabarros,3," Disappointing: terribly preachy and horrendous script. Great cast.
","Margot Robbie and Ryan Gosling are really great in their roles of Barbie and Kent. Gosling is specially hilarious. I expected a funny, cool, deep and entertaining movie, but I was highly disappointed. The movie is so terribly preachy that ends being an embarrassment. We (the audience) have brains, so, please, preach somewhere else. Furthermore, this is a movie to divide, not to unite. And I'm a woman. The script of the movie is horrendous and the direction is plain bad. There are some great actresses that have too little to say, like Emma Mackey, and that's a pity. Overall: a huge disappointment and a missed opportunity. 3/10 (1 point for Margot Robbie, 1 point for Ryan Gosling, and 1 point for the art direction (super tacky and pinky, as Barbie's world).",/review/rw9319915/?ref_=tt_urv
19,19 July 2023,jpismyname,8," Fun and surprisingly touching
","I was honestly doubting this movie at first, but surprisingly I find myself really liking it quite a lot.",/review/rw9319915/?ref_=tt_urv
20,19 July 2023,hamsterination,6," It could have been so much better...
","The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.",/review/rw9319915/?ref_=tt_urv
21,8 October 2023,SarahAppleSauce98,2," Overrated and sad
","I saw this recently on streaming after hearing so much hype about how it was so important and such an incredible movie. After I watched it I wondered if I'd ordered the wrong movie. The whole thing was just lame unfunny jokes, a convoluted plot line, bland acting and mixed messaging which seems to be trying to be positive for women but are unintentionally negative - especially at the end with how the Barbies trick the Kens, I mean is the positive message for my daughter meant to be to exploit men by buttering them up? Er what?",/review/rw9319915/?ref_=tt_urv
22,21 July 2023,imdbmovieguy,," Honestly - not funny and light enough
","I really enjoyed the first 20 minutes of the movie. It was very upbeat, positive and light. However, things soon became negative about 20 - 25 minutes into the movie. I couldn't stand it. Barbie's world and attitude was a constant bummer. Ken's attitude was sour. For the next hour (and more) the movie just lived in negativity.",/review/rw9319915/?ref_=tt_urv
23,19 July 2023,andypaps101,8," ""Barbie"" - A Multifaceted Exploration of Femininity, Consumerism, and Existentialism
",I got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.,/review/rw9319915/?ref_=tt_urv
24,20 July 2023,portraitofaladyonfire,6," Brilliant observations, but social depth is missing
","Greta Gerwig and Noah Baumbach have a knack for incorporating the many little observations of life, whether funny or deeply interpersonal, into a screenplay. Gerwig manages to direct them with great visuals and clever transitions.",/review/rw9319915/?ref_=tt_urv
25,1 August 2023,surfacing7,9," People are missing the point
","Seeing a lot of reviews saying that this movie is preachy, the men are portrayed as idiots, etc. It's a SATIRE. It is meant to be over the top. And yes, it has a lot to say. But the fact that some people in the audience (and I'd wager some of the negative reviews are from people who didn't bother to watch the movie) don't want to hear it, doesn't make it any less valid.",/review/rw9319915/?ref_=tt_urv
26,21 July 2023,G-Joshua-Benjamin,6," My mom and I saw this yesterday. Here are my thoughts.
",I don't know if I put spoilers in here. I am super worn out. Haha So I will just put that I did.,/review/rw9319915/?ref_=tt_urv
27,25 July 2023,zoooooe,10," It's beautiful.
","This one reminds me of why I love movies so much. Acting, dancing, visual arts, screenplay, plots, soundtracks, humor, moral, there are everything we need in a movie. What hit me the most is that I was only expecting the kind of adult humor in that Barbie song ""You can brush my hair undress me everywhere,"" but at some point I realize it's way more than that. The movie was hilarious that I remember my mouth was opened laughing the whole time you know, all the Barbie jokes. And it's so cute that just right at the beginning of the movie, I instantly fell back to my childhood memories and everything is pink it's so beautiful. Yet, it's such a deep movie that it told things we almost be numb to. It said it out loud to remind us who we are and what are our worth and where are we going and everything. It's a movie about love. I cried so hard and laughed so hard. It's a masterpiece.",/review/rw9319915/?ref_=tt_urv
28,25 July 2023,spika13,6," Too overrated
","Its like watching at ""Truman's show"" but all the set it's pink color with a hint of extreme feminist ideas. I grew up with barbie dolls and I felt very disappointed, I was expecting a different kind of story, the ending was the worst. I think the message should be more with the real feminist concept of Simone de Bouvoir, we all deserve the same rights. In the end Instead of just Barbie Land they should changed as; Barbie and Ken Land.",/review/rw9319915/?ref_=tt_urv
29,21 November 2023,sandy777,4," Some humorous moments, but the story fell flat
","Barbie, a movie about the beloved doll and all her identities and her friends, what could go wrong? A lot apparently. It started with voice over narration and went downhill from there. There was too much telling rather than showing. Most of this movie constantly explained everything and often told me how I should feel about it. The writing felt like it was trying too hard to be profound and tried to oversimplify complex subjects and gender roles. There were some funny moments, but a lot of the humor and story were far from subtle. I never felt drawn into the characters and what they were experiencing. The story lacked stakes. I didn't care about Barbie or Ken. In the right hands, this movie could have been fun. But Barbie didn't seem to know what it wanted to be or what story it wanted to tell.",/review/rw9319915/?ref_=tt_urv
30,20 July 2023,Genti26,8," You are Kenough
","This movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head.",/review/rw9319915/?ref_=tt_urv
31,22 July 2023,imseeg,7," 3 reasons FOR seeing it and 1 reason AGAINST.
",The first reason to go see it:,/review/rw9319915/?ref_=tt_urv
32,14 August 2023,stusby,4," A triumph of marketing for a poorly realised story
",It's weird seeing a movie that puts gay male culture front and centre of a lesbian-free world.,/review/rw9319915/?ref_=tt_urv
33,29 July 2023,connor707,10," Not made for me but loved nonetheless
","As a man who has never touched a barbie in my life, I was definitely not the intended audience for this film. However, I absolutely enjoyed it. It's funny, entertaining, and poignant. I came in thinking it would be sort of silly and fun, which it was, but it also was about barbie, an always-positive ""person's"" journey into the real world and how messed up and unfair it is. She believes that the real world must be just like hers, where women are recognized for their achievements and always given the opportunity, respect, and tools to succeed in life. She is obviously very disappointed in our world when she actually experiences it. I think any guy tagging along to see this will enjoy it unless he's a misogynist and/or very insecure in his masculinity.",/review/rw9319915/?ref_=tt_urv
34,19 July 2023,mark-217-307033,6," Fun film whose script falls in on itself
","Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.",/review/rw9319915/?ref_=tt_urv
35,7 August 2023,etoilethursby,10," 🌸🌸🌸🌸
",I couldnt wait for this to come out and when it did i saw it on the day of the release and ohh my everyone clapped and cheered at the end and in the uk no one ever does that but anyway i went with boys and girls and all of them enjoyed it i think truly it puts a message forward which might sound cringe but i dont care but everything about it was so good the acting was phenomenal the casting was amazing the cinematography the music just so good oh my god ive seen it a couple of times now and each time i finished the movie i was so happy for the rest of the day i was dancing and skipping around anyway i love this movie a lot.,/review/rw9319915/?ref_=tt_urv
36,21 July 2023,andermic18,6," No Direction
","The movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating.",/review/rw9319915/?ref_=tt_urv
37,29 July 2023,cmdown-50506,9," Now I am become Barbie Girl, the enjoyer of Barbie worlds
","I have been waiting for this to release for so long and I finally got to watch it today. I absolutely loved it! It was fun, it had Margot Robbie (and extra stuff for Tarantino's out there if you know what I mean) And it had some absolute bangers! What more could you want from a new summer classic?",/review/rw9319915/?ref_=tt_urv
38,6 November 2023,kk-59333,7," Interesting concept but not as deep as expected
","The movie isn't as fantastic as it was hyped to be. Its deconstruction of patriarchy and satire fall short of what was expected. Instead, it seems to remain on a rather superficial level of ""girls can do anything"" and ""find yourself."" The most controversial aspect of the Barbie character, whether it exacerbates women's appearance anxiety, is hardly mentioned at all. In my view, it's essentially a reiteration of the same old themes, just presented in updated ways. However, considering Hollywood's consistent conservatism and focus on profits, I appreciate that this is a brave attempt at expressing feminism within the world's most profit-driven film industry.",/review/rw9319915/?ref_=tt_urv
39,9 September 2023,moviesgamesandvideos,4," Overhyped and banal
",The film does not live up to the marketing. Its about as subtle as a steamroller and deep as a puddle. There must be primary school books with more depth and nuance than this film.,/review/rw9319915/?ref_=tt_urv
40,23 July 2023,anniebleasdale-97708,9," Wildly misunderstood by the poor reviewers.
","Unfortunately, most reviews that I've read here that score this film poorly explain so clearly that the reviewer did not understand the message of the film. It is not anti-men, it does not portray men as ""stupid"". Take a moment to think about how women have been portrayed in movies over the last century - oh yes, just as Ken is here! The movie exaggerates this, yes. That is the point. To clearly (and humourously) highlight the inequalities when the roles are reversed. Stop being offended by something that isn't offensive and take a bit of time to actually think about the film that you have watched.",/review/rw9319915/?ref_=tt_urv
41,15 September 2023,maxlagerholm,6," Excellent marketing team.
",They really did some fantastic marketing with this movie.,/review/rw9319915/?ref_=tt_urv
42,23 July 2023,jacobarch,3," Did I watch the same movie as everyone else lol
","While the production value, cinematography and acting were what you would expect from Margo Robbie and the supporting cast. I felt the movie fell short of not preaching to me and spreading a message of division rather than unity. Men and women cannot survive without each other but you'd never know it watching this movie. And me having my 13 year old daughter with me almost caused me to walk out of the theater. I kept on waiting for the writers to hit the direction of unity but it never came. After the movie my daughter brought up the message to me saying how she even noticed the weird agenda they're trying to push and said that is not a movie for the easily impressionable. Come to find out my daughter is better suited to take on the world that I thought she was. Proud day for me as a father.",/review/rw9319915/?ref_=tt_urv
43,10 August 2023,kadiarula,10," Loved it!
","Barbie comes to life and is surprised by all the possibilities after a life pre-determined. She goes on an adventure in the real world with new friend Madeline. The film celebrates finding oneself and believing in one's potential, with Barbie learning there is no single path laid out and she has the power to write her own story. The film takes Barbie out of her traditional Dreamhouse setting and puts her in the real world for the first time. This allows her to experience what life has to offer beyond what she was perhaps accustomed to. Visually the film looks colorful and upbeat with a focus on Barbie's journey of self-discovery in a real world setting she's unfamiliar with.",/review/rw9319915/?ref_=tt_urv
44,7 August 2023,misscattik,," No questions just answers
","The title of the review practically sums it all up. With the highest potential in style, aesthetics, cast and concept, the movie fails spectacularly when it comes to the deliverance of it's main idea. And it's not feminism that bothers, surely not, it's the artistic language in which the idea is told - harsh, manipulative, abusive, straightforward and unkind. Instead of aspiring the audience to think and reflect, it shoves the manifestations down your throat, and in monologues that are generally painfully awkward to watch.",/review/rw9319915/?ref_=tt_urv
45,16 December 2023,Tr-u-mpbilly,6," Didn't live up to expectations
","I watched this with my wife who was ready to turn it off after about ten minutes, but I talked her into watching it - ""It'll get better, honey. They'll be going into the real world, soon.""",/review/rw9319915/?ref_=tt_urv
46,6 August 2023,Amy217o,10," Charming, fun and we all had a laugh.
",This movie is charming and many people I know who also watched this absolutely loved it and recommended it to me. The movie was hilarious and we all had a laugh. Everybody enjoyed this and actually had fun. At the end of the movie I was left with wanting more. This movie is at least in the top 5 as it was something I didn't expect to enjoy. I thought at first that it would just another mediocre movie but I was so wrong. Somehow everything about this movie put together worked so well. Ryan Gosling as Ken and Margot Robbie as Barbie both casts did a fantastic job. I would absolutely rewatch this as it was better than I expected. I highly recommend this. This Barbie movie got everybody wearing pink and it just did everything right. Honestly hats off to all casts & crew. I LOVED THIS!!!,/review/rw9319915/?ref_=tt_urv
47,21 July 2023,arslanmanzoor123,6," Quite disappointing
","Some friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles.",/review/rw9319915/?ref_=tt_urv
48,21 July 2023,MaskedMinty,5," Preach Preach Preach
","Let me start by saying that I'm by no means a conservative or traditional woman. I believe that inequality for women still is rampant even in first world countries and that we go through many problems. But damn...this movie is so corporate and shallow. It's clearly ordered and tailored by executives at Mattel to rebrand and sell more dolls. The movie starts well and has the potential of becoming something very good, but then it just goes downhill: the premise of the owner's feeling being projected onto the doll was going to lead to a very nice build up about a person's life journey and then Barbie and Ken go to the human world and cue in the speeches and preaching. This movie suffers from a bad case of showing and not telling, they keep repeating the same dialogues: patriarchy bad patriarchy bad patriarchy bad sexism sexism sexism, not even one time but MULTIPLE TIMES. These characters go into random rants like its a ted talk! The chemistry between the mother and daughter is absolutely nonexistent and their relationship is so cringe, You cant root for them or feel their feelings at all. Barbie should have understood how Kens had been feeling in the Barbieland the whole time which is a mimic of how many women are still treated in the society: just existing for the gaze of a woman (man). Yet what do they do? They manipulate them (with a super nonsense plan) and force them back to their original position while she gives him a half assed apology that could have been done better and end up to a more accurate point about equality. (I guess this is again meta and a reflection of how women are pitted against each other while people in charge benefit from that but its so badly done that it feels meh.)
I can imagine that in the boardroom they went through a discussion like this: People are going to think this is a feel good movie so we need to give them something deeper but also lets make it absurd and fast paced so that we can finish the plot quickly and also jump on the ""not taking itself serious"" bandwagon and also market these dolls again in the age of smartphone kids. The only reason this movie gets at 5 from me is the humor, which sometimes becomes very meta and creative and Margot Robbie and Ryan Gosling have acted very well. Besides this, they could have just given us a simple feel good movie and I would have respected the creators more. Pass.",/review/rw9319915/?ref_=tt_urv
49,1 August 2023,tinajenko-33312,10," Brilliantly done!
",I was pleasantly surprised how much I enjoyed this. At the very beginning I thought it would be a pointless film of how perfect you should look and how you should act a certain way in order for society to like you.,/review/rw9319915/?ref_=tt_urv
50,23 July 2023,jacquihives,6," I had no expectations but was still underwhelmed
","I loved barbie growing up, and even at 42 years old I couldn't wait to go see the movie! I didn't have any expectations because I had no idea how they could make a movie about barbie that's for adults and not kids. I adored Barbieland, but unfortunately they leave it behind so fast and with it they also leave behind everything good about bringing barbie to life in a movie! It got silly, had no storyline, was overly political and woke, man bashing and made men silly, and I really didn't care for the ending which is just as well because it was abrupt and crude.",/review/rw9319915/?ref_=tt_urv
51,3 August 2023,AngelHonesty,5," Not what I Expected
","I played with barbies a lot as a kid, so I thought this movie was going to be fun. The trailer looked great, I thought, why not, let's have a girls movie night, kick back relax, watch a funny iconic movie about my favorite toys as a kid. But I was greatly let down really fast. The movie was all about a strong message of what a woman is, what a man is, how the world defines those roles and how we should just be whoever we are. There was nothing in the movie that made me laugh. It all felt kinda heavy with the message they were telling. It's definitely not a kids movie either, I don't think they would understand half of it. Really wasn't happy with the movie.",/review/rw9319915/?ref_=tt_urv
52,30 July 2023,rhuffq,10," ""You can be anything.""
","The story in Barbie isn't about a doll. It's about reconciling the imperfect world we live in with the idealized stories we tell and create. We use our dolls, toys, and play to create those stories. We internalize the ideals shared through those stories. Sometimes they are good ideals that empower us. Sometimes they are toxic ideals that disempower us. Ultimately they are created by us and we are influenced by them.",/review/rw9319915/?ref_=tt_urv
53,19 July 2023,sriya-76870,6," Boring Movie
",Dont fall for the 5 star reviews. This movie is extremely boring and goes on without a purpose even if it has it's hard to understand.,/review/rw9319915/?ref_=tt_urv
54,27 July 2023,baybaysulzy,10," Funny, Visually Stunning, Emotional, & Engaging!
","This movie made me so proud to be a woman and really appreciate the human experience! It's amazing that a film centered around a toy managed to shed light on the genuine highs and lows of being human, making it a refreshing watch! It was funny, visually stunning, emotionally resonant and engaging. I'm not sure why some have labeled it as ""preachy"" or ""agenda-driven,"" because it merely highlighted the realities faced by women today. If these aspects were challenging to watch, that might have been the film's intent - to resonate with its target audience. I appreciate that the movie reminds us what Barbie's original purpose was, to empower girls around the world! So to everyone who feels that this movie was a personal attack, it might be best for you to stop over analyzing every little thing because you weren't the target audience anyway. Highly recommend!!",/review/rw9319915/?ref_=tt_urv
55,19 July 2023,dreopdreef,6," Not so unique as expected
",The concept of a Barbie movie is really unique and got me all exited. But unfortunately to me it delivers the same messages that we keep hearing as of lately.,/review/rw9319915/?ref_=tt_urv
56,7 August 2023,Reyniday,10," Speechless
","Words cannot express successfully how I feel about this movie. I want to first say how important this movie is for women in the industry. As a woman who's dream is to be a filmmaker and being so young this is a monumental achievement in my eyes. This movie has made me excited to see what younger minds can do. It has a wonderful creative voice and a beautiful mix of comedy and respectfully addresses hard topics in a way that I think everyone can benefit from. I can understand how some people find it preachy but I disagree because this is a love letter to women. There are so many things that stuck with me and I will probably remember forever. I am impressed with the amount or detail, creativity, and love that was so obviously put into this movie. Greta Gerwig and the rest of the production team did a beautiful job creating an immersive thought provoking experience that brought me to tears. This is by far Margot and Ryan's best performance I've seen and they deserve all the love for it. The sci-fi references are also a very interesting touch that I didn't expect. I think this is a movie than everyone can take something away from and it is very special to me.",/review/rw9319915/?ref_=tt_urv
57,24 July 2023,GhostFoxX,6," Misleading.
","I personally expected the movie to be fun and adventurous. Correct me if I'm wrong, but isn't that what it is supposed to be? It's literally a movie about Barbie. Instead, it felt more like an agent of woke culture, and basically Mattel's (the company that produces Barbie dolls) way of capitalizing the emotional aspect of the cinephiles to make their business more popular and trendier. It continuously tried to portray the fact that Mattel is no more producing white barbie dolls, it is now producing dolls of all colors and races. Well, that is definitely a good thing, but making most of the movie focus on that aspect felt very boring and wrong. If they didn't quite make a movie that is fun and adventurous, why make the marketing events misleading? They could've just focused on the audience for whom it was made, rather than on the entire world through their absurdly irrelevant marketing events that made the world think that this movie is going to be all about fun and adventure. Sadly, it was not nearly as enjoyable as the misleading marketing made it seem.",/review/rw9319915/?ref_=tt_urv
58,27 August 2023,max-850,4," Preacher Barbie?
","I believe I came to this movie with an open mind. In my opinion a movie balled Barbie needs to be a comedy. And while there were pieces here and there that were funny, for the most part we (and everyone in the theater) only laughed occasionally. The production design and costumes are great. The screenplay is the weakest part. The direction is next weakest. And those two caused a great cast to overact. When this movie takes itself seriously it gets tedious. It's preachy. We are constantly being told what we are seeing and what we should think about what we are thinking. This is not engaging. Why can't we think for ourselves based on what we see? I hated being treated like a ten year old and being spoonfed the morals, thoughts and feelings. But then maybe the target audience is ten-year-olds. In any event, I thought it would never end. By the time they were talking about ordinary Barbie, all I could think was ""Sanctimonious Barbie.""",/review/rw9319915/?ref_=tt_urv
59,8 August 2023,info-4994,10," Who'd Have Thought It?
","Who'd have thought that you could make a film about the Barbie doll. Well Greta Gerwig obviously did and what a rip-snorting entertaining piece of colourful fun it is. And on so many different levels too: socio-political commentary, gender roles, off-the-wall mayhem to mention three. There are homages to classic films from the very start that had me rolling with laughter, and it never let up.",/review/rw9319915/?ref_=tt_urv
60,22 July 2023,shadowtramp,5," More of a marketing flick
",The brilliant marketing is what led us tonight to pay for the tickets. The brilliance ends there.,/review/rw9319915/?ref_=tt_urv
61,12 August 2023,hollieking81,10," Thought it would be cheesy
","But was pleasantly surprised. I found it very emotional. Fabulous casting, dancing and soundtrack. My daughters 6 and 8 also loved it. My husband even went along and got a few laughs but ended up at the pub with my youngest because the cinema in general was too loud for her. I can see how it could upset and make people uncomfortable that are after a comedy seen through the eyes of a stereotypical comedy director, but that is what makes this movie so different. Definitely bring some tissues if you have any sort of mother-daughter relationship, both good, bad and in-between. I am so glad I could see a movie like this with my daughters.",/review/rw9319915/?ref_=tt_urv
